id,fact
1,Space is completely silent because there is no atmosphere to carry sound.
2,The Sun accounts for 99.86% of the mass in our solar system.
3,One day on Venus is longer than its year.
4,Neutron stars can spin up to 700 times per second.
5,A full NASA space suit costs about $12 million.
6,There are more stars in the universe than grains of sand on Earth.
7,Jupiter has the shortest day of all planets—just under 10 hours.
8,"The Moon is slowly drifting away from Earth, about 3.8 cm per year."
9,Saturn's rings are mostly made of ice particles.
10,"In space, astronauts can grow up to 2 inches taller temporarily due to spinal decompression."
